name,attention,sante,inflammable,polluant,corrosif,toxique,oxydant,explosif_instable,quantite
ACETATE D'AMMONIUM,,,,,,,,,800gr
ACIDE CHLORHYDRIQUE,TRUE,,,,TRUE,,,,800 mL
ACIDE CHLORHYDRIQUE 32%,TRUE,,,,TRUE,,,,1100 mL
ACIDE CITRIQUE,TRUE,,,,,,,,100 gr
ACIDE ÉTHANOÏQUE,,,,,TRUE,,,,
ACIDE ETHANOIQUE 80%,,,,,TRUE,,,,
ACIDE ETHANOIQUE 99.8%,,,TRUE,,TRUE,,,,2500 mL
ACIDE LACTIQUE,,,,,TRUE,,,,60 mL
ACIDE NITRIQUE,,,,,TRUE,,,,2000 mL
ACIDE OXALIQUE,TRUE,,,,,,,,500 gr
ACIDE PHTALIQUE,TRUE,,,,,,,,250 mL
ACIDE SUCCINIQUE,,,,,TRUE,,,,100 gr
ACIDE SULFURIQUE,,,,,TRUE,,,,500 mL
AGAR-AGAR,,,,,,,,,600gr
AGAROSE,,,,,,,,,10gr
ALBUMINE OEUF,,TRUE,,,,,,,750 gr
ALBUMINE SERIQUE BOVINE,,,,,,,,,1gr
ALUMINIUM CARBURE,TRUE,,TRUE,,,,,,1000 gr
ALUN DE POTASSIUM,,,,,,,,,100 gr
AMIDON DE POMME DE TERRE,,,,,,,,,300 gr
AMIDON SOLUBLE,,,,,,,,,1000gr
AMMONIAQUE,TRUE,,,TRUE,TRUE,,,,1100 mL
AMMONIUM CHLORURE,TRUE,,,,,,,,0gr
AMMONIUM MOLYBDATE,TRUE,,,,,,,,200 gr
AMMONIUM NITRATE,TRUE,,,,,,TRUE,,1250 gr
AMMONIUM OXALATE,TRUE,,,,,,,,
AMMONIUM OXALATE MONOHYDRATE,TRUE,,,,,,,,50 gr
AMMONIUM SULFATE,,,,,,,,,1050 gr
AMPICILINE,,,,,,,,,5 gr
AMYLASE,,TRUE,,,,,,,2gr
ANILINE,,TRUE,,TRUE,TRUE,TRUE,,,1000 mL
ARGENT NITRATE,TRUE,,,TRUE,,,TRUE,,35 gr
AUXINE,,,,,,TRUE,,,0gr
BARYUM CHLORURE,,,,,,TRUE,,,650 gr
BARYUM HYDROXYDE,TRUE,,,,TRUE,,,,500 gr
BLEU DE BROMOPHENOL,,,,,,,,,125 mL
BLEU DE BROMOPHENOL EN POUDRE,,,,,,,,,8 gr
BLEU DE BROMOTHYMOL,,,,,,,,,200 gr
BLEU DE BROMTHYMOL ,,,,,,,,,8 gr
BLEU DE COOMASSIE,TRUE,,,,,,,,5 gr
BLEU DE METHYLENE,TRUE,,,,,,,,20 gr
BLEU DE METHYLENE EOSINE,,TRUE,TRUE,,,TRUE,,,100 mL
BLEU DE TOLUIDINE,,,,,,,,,5 gr
BLEU DE TOLUIDINE EN POUDRE,,,,,,,,,6 gr
BUTANOL-1,TRUE,,TRUE,,TRUE,,,,1100 mL
BUTANONE-2,TRUE,,TRUE,,,,,,1500 mL
CALCIUM CARBONATE,,,,,,,,,400 gr
CALCIUM CHLORURE,TRUE,,,,,,,,500 gr
CALCIUM HYDROXYDE,TRUE,,,,TRUE,,,,2500 gr
CALCIUM NITATE,TRUE,,,,,,TRUE,,700 gr
CALCIUM PHOSPHATE TRICALCIQUE,,,,,,,,,250 gr
CARMIN 40,,,,,,,,,25 gr
CARMIN ACETIQUE,,,,,TRUE,,,,350 mL
CARMIN ALUNE ,,,,,,,,,4 gr
CARMIN ALUNE DE GRENACHER,,,,,,,,,275 mL
CARMIN VERT DE MIRANDE,,,,,,,,,450 mL
CHAUX SODEE,,,,,TRUE,,,,500 gr
COBALT CHLORURE HEXAHYDRATE,TRUE,TRUE,,TRUE,,,,,200 gr
COLORANT ALIMENTAIRE BLEU,,,,,,,,,100 mL
COLORANT ALIMENTAIRE JAUNE,,,,,,,,,100 mL
COLORANT ALIMENTAIRE ROUGE,,,,,,,,,90 mL
COLORANT ALIMENTAIRE VERT,,,,,,,,,100 mL
COLORANT DE GIEMSA,,TRUE,TRUE,,,TRUE,,,200 mL
COLORANT DE PANCHROME LAVERAN,,,,,,,,,250mL
CUIVRE 2 CHLORURE DIHYDRATE,TRUE,,,TRUE,TRUE,,,,250 gr
CUIVRE BIOXYDE,,,,TRUE,,,,,100 gr
CUIVRE SULFATE PENTHAHYDRATE,TRUE,,,TRUE,,,,,200 gr
CUIVRE TOURNURE,,,,,,,,,0gr
CYCLOHEXANE,TRUE,TRUE,TRUE,TRUE,,,,,1000 mL
DIACETONE,TRUE,,TRUE,,,,,,900 mL
DIIODE EN SOLUTION,TRUE,TRUE,,TRUE,,,,,
DIPHENYLAMINE,,TRUE,,TRUE,,TRUE,,,10 gr
ECARLATE (ROUGE) DE CRÉSOL,TRUE,,,,,,,,20gr
EDTA,TRUE,,,,,,,,200 gr
EOSINE,TRUE,,,,,,,,5 gr
ETHANOL,TRUE,,TRUE,,,,,,17000mL
ETHER DE PETROLE,TRUE,TRUE,TRUE,TRUE,,,,,1800 mL
FER 2 SULFATE HEPTAHYDRATE,TRUE,,,,,,,,250 gr
FER LIMAILLE,,,,,,,,,5 gr
FER PHOSPHATE,,,,,,,,,200 gr
FRUCTOSE,,,,,,,,,400 gr
FUCHSINE BASIQUE,TRUE,TRUE,,,,,,,1 gr
FUCHSINE DE ZIEHL,TRUE,TRUE,TRUE,,TRUE,,,,500 mL
FUCHSINE POUR GRAM,TRUE,TRUE,TRUE,,TRUE,,,,200 mL
GALACTOSE,,,,,,,,,70 gr
GÉLOSE LACTOSÉ DRIGALSKI,,,,,,,,,300 gr
GÉLOSE VF,,,,,,,,,400 gr
GLUCOSE 1 PHOSPHATE,,,,,,,,,2 gr
GLUCOSE MONOHYDRATE,,,,,,,,,1200gr
GLUCOSE OXYDASE,,TRUE,,,,,,,2 gr
GLYCEROL,,,,,,,,,800 mL
GLYCOGENE,,,,,,,,,1 gr
GUAIAOL,TRUE,,,,,,,,40 gr
HEPARINE,,,,,,,,,1 gr
HYDROGENE PEROXYDE 110V,TRUE,,,,TRUE,,,,600 mL
HYDROXYDE DE SODIUM (NAOH),,,,,TRUE,,,,200 gr
IODE BISUBLIME,TRUE,TRUE,,TRUE,,,,,50 gr
IODE EN SOLUTION POUR GRAM,,,,,,,,,350 mL
LACTASE,,,,,,,,,70
LACTOSE,,,,,,,,,300 gr
LEVULOSE,,,,,,,,,450g
MAGNESIUM CHLORURE HEXAHYDRATE,,,,,,,,,250 gr
MAGNESIUM SULFATE HEPTAHYDRATE,,,,,,,,,350 gr
MALTOSE,,,,,,,,,100 gr
MANNITOL,,,,,,,,,10 gr
METHANAL,,TRUE,,,TRUE,TRUE,,,800 mL
METHANOL,,,,,,,,,1500 mL
MILIEU HUGH ET LEIFSON,,,,,,,,,300 gr
MULLER ET HINTON,,,,,,,,,100 gr
NAPHTOL 1,,,,TRUE,TRUE,TRUE,,,200 gr
NINHYDRINE,TRUE,,,,,TRUE,,,5 gr
ORANGE DE METHYLE,,,,,,TRUE,,,20 gr
ORCEINE B,,,,,TRUE,,,,90 mL
PANCREATINE,TRUE,TRUE,,,,,,,250 gr
PCA,,,,,,,,,400 gr
PEPSINE,TRUE,TRUE,,,,,,,65 gr
PEPTONE,,,,,,,,,700 gr
PHENOLPHTALEINE,,TRUE,,,,,,,100 gr
PHENYLHYDRAZINE,,TRUE,,TRUE,,TRUE,,,400 mL
PLOMB ACETATE,,TRUE,,TRUE,,,,,450 gr
PLOMB GRENAILLE,TRUE,TRUE,,TRUE,,,,,1000 gr
POTAASSIUM PERMANGANATE,TRUE,,,TRUE,,,TRUE,,150 gr
POTASSIUM BROMURE,,,,,,,,,200 gr
POTASSIUM CHLORURE,,,,,,,,,500 gr
POTASSIUM CHROMATE,,TRUE,,TRUE,,TRUE,,,200 gr
POTASSIUM DICHROMATE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,1500 gr
POTASSIUM DIHYDROGENOPHOSPHATE,,,,,,,,,300 gr
POTASSIUM HEXACYANOFERRATE,,,,,,,,,20gr
POTASSIUM HYDROXYDE,TRUE,,,,TRUE,,,,400gr
POTASSIUM IODURE,TRUE,,,,,,,,500 gr
POTASSIUM NITRATE,,,,,,,TRUE,,2000 gr
POTASSIUM SODIUM TARTRATE,,,,,,,,,1000 gr
POTASSIUM SULFATE,,,,,,,,,300 gr
POTASSIUM THIOCYANATE,TRUE,,,,,,,,200 gr
PROPANOL 2,TRUE,,TRUE,,,,,,1010 mL
PROPANONE,TRUE,,TRUE,,,,,,1000 mL
PYROGALLOL,,TRUE,,,,TRUE,,,50 gr
RÉACTIF DE BIURET,,,,,,,,,
REACTIF DE FEHLING A,,,,TRUE,,,,,1100 mL
REACTIF DE FEHLING A-B,,,,TRUE,,,,,
REACTIF DE FEHLING B,,,,,TRUE,,,,1100 mL
REACTIF DE SCHIFF,,,,,TRUE,,,,250 mL
REACTIF NITROMOLYBDIQUE,,,,,TRUE,,,,125 mL
RHODAMINE,TRUE,,,,TRUE,,,,25 gr
ROUGE CONGO,,TRUE,,,,,,,50 gr
ROUGE DE CRESOL,,,,,,,,,400 mL
ROUGE DE CRESOL EN POUDRE,TRUE,,,,,,,,5g
ROUGE DE METHYLE,,,,,,,,,250 mL
ROUGE DE METHYLE EN POUDRE,,,,TRUE,,,,,0.5 gr
ROUGE NEUTRE,,,,,,,,,40 gr
ROUGE PONCEAU,,,,,,,,,125 mL
ROUGE SOUDAN,,,TRUE,,,TRUE,,,50 mL
SACCHAROSE,,,,,,,,,800 gr
